transaction_id,date,product_id,quantity,unit_price_egp,discount_egp
T00114,2026-05-06,P003,1,1800,180
T00115,2026-05-07,P001,2,5990,0
T00116,2026-05-08,P001,4,5990,0
T00117,2026-05-08,P003,2,1800,180
T00118,2026-05-08,P006,1,1450,0
T00119,2026-05-08,P007,1,4200,0
T00120,2026-05-08,P008,1,3500,0
T00121,2026-05-09,P001,6,5990,0
T00122,2026-05-09,P002,1,39990,0
T00123,2026-05-09,P003,11,1800,0
T00124,2026-05-09,P005,1,14990,0
T00125,2026-05-09,P006,3,1450,0
T00126,2026-05-09,P008,1,3500,0
T00127,2026-05-10,P001,1,5990,0
T00128,2026-05-10,P003,2,1800,360
T00129,2026-05-10,P006,6,1450,0
T00130,2026-05-11,P001,5,5990,0
T00131,2026-05-11,P003,2,1800,0
T00132,2026-05-11,P008,1,3500,350
T00133,2026-05-12,P001,1,5990,0
T00134,2026-05-12,P003,5,1800,0
T00135,2026-05-13,P001,4,5990,2396
T00136,2026-05-13,P003,3,1800,0
T00137,2026-05-13,P006,2,1450,144
T00138,2026-05-14,P001,1,5990,0
T00139,2026-05-14,P002,2,39990,0
T00140,2026-05-14,P003,1,1800,0
T00141,2026-05-14,P006,2,1450,0
T00142,2026-05-14,P008,2,3500,0
T00143,2026-05-15,P003,5,1800,0
T00144,2026-05-15,P004,1,14990,0
T00145,2026-05-15,P006,1,1450,0
T00146,2026-05-16,P002,1,39990,0
T00147,2026-05-16,P003,5,1800,450
T00148,2026-05-16,P006,1,1450,0
T00149,2026-05-16,P008,2,3500,0
T00150,2026-05-17,P007,1,4200,420
T00151,2026-05-18,P001,1,5990,0
T00152,2026-05-18,P003,5,1800,0
T00153,2026-05-18,P006,1,1450,0
T00154,2026-05-19,P006,1,1450,0
T00155,2026-05-20,P001,1,5990,0
T00156,2026-05-20,P003,2,1800,0
T00157,2026-05-20,P006,1,1450,0
T00158,2026-05-20,P008,1,3500,175
T00159,2026-05-21,P001,2,5990,0
T00160,2026-05-21,P003,1,1800,0
T00161,2026-05-21,P006,1,1450,0
T00162,2026-05-21,P008,1,3500,0
T00163,2026-05-22,P003,7,1800,0
T00164,2026-05-22,P005,1,14990,0
T00165,2026-05-22,P006,2,1450,0
T00166,2026-05-23,P001,13,5990,0
T00167,2026-05-23,P002,1,39990,0
T00168,2026-05-23,P003,2,1800,0
T00169,2026-05-24,P001,2,5990,600
T00170,2026-05-24,P003,1,1800,0
T00171,2026-05-24,P006,8,1450,0
T00172,2026-05-25,P001,2,5990,0
T00173,2026-05-25,P005,1,14990,0
T00174,2026-05-25,P006,2,1450,0
T00175,2026-05-25,P007,1,4200,0
T00176,2026-05-26,P001,1,5990,300
T00177,2026-05-26,P006,2,1450,0
T00178,2026-05-26,P008,1,3500,0
T00179,2026-05-27,P002,1,39990,0
T00180,2026-05-27,P003,5,1800,0
T00181,2026-05-28,P003,18,1800,0
T00182,2026-05-29,P003,3,1800,0
T00183,2026-05-29,P006,3,1450,0
T00184,2026-05-30,P001,9,5990,0
T00185,2026-05-30,P003,2,1800,0
T00186,2026-05-30,P005,1,14990,0
T00187,2026-05-30,P006,2,1450,0
T00188,2026-05-31,P002,1,39990,0
T00189,2026-05-31,P003,3,1800,0
T00190,2026-05-31,P005,1,14990,0
T00191,2026-06-01,P003,2,1800,0
T00192,2026-06-01,P004,1,14990,0
T00193,2026-06-01,P008,1,3500,0
T00194,2026-06-02,P006,1,1450,0
T00195,2026-06-03,P001,1,5990,0
T00196,2026-06-03,P002,1,39990,0
T00197,2026-06-03,P003,1,1800,0
T00198,2026-06-03,P006,3,1450,0
T00199,2026-06-04,P001,1,5990,0
T00200,2026-06-05,P001,11,5990,0
T00201,2026-06-05,P002,2,39990,0
T00202,2026-06-05,P003,1,1800,0
T00203,2026-06-05,P005,1,14990,1499
T00204,2026-06-05,P006,4,1450,0
T00205,2026-06-06,P003,5,1800,0
T00206,2026-06-07,P003,6,1800,0
T00207,2026-06-07,P006,2,1450,0
T00208,2026-06-08,P001,3,5990,0
T00209,2026-06-08,P002,1,39990,0
T00210,2026-06-08,P003,5,1800,0
T00211,2026-06-08,P006,2,1450,0
T00212,2026-06-09,P001,1,5990,599
T00213,2026-06-09,P003,2,1800,0
T00214,2026-06-09,P006,1,1450,0
T00215,2026-06-10,P001,3,5990,0
T00216,2026-06-10,P002,1,39990,0
T00217,2026-06-10,P005,1,14990,0
T00218,2026-06-10,P008,2,3500,0
T00219,2026-06-11,P001,3,5990,0
T00220,2026-06-11,P003,3,1800,0
T00221,2026-06-11,P006,2,1450,0
T00222,2026-06-12,P001,6,5990,3594
T00223,2026-06-12,P003,2,1800,0
T00224,2026-06-12,P005,3,14990,0
T00225,2026-06-12,P006,6,1450,0
T00226,2026-06-13,P001,3,5990,900
T00227,2026-06-13,P003,3,1800,540
T00228,2026-06-13,P006,2,1450,144
T00229,2026-06-13,P008,1,3500,0
T00230,2026-06-14,P001,1,5990,0
T00231,2026-06-14,P002,1,39990,0
T00232,2026-06-14,P003,2,1800,0
T00233,2026-06-14,P005,1,14990,0
T00234,2026-06-16,P001,2,5990,0
T00235,2026-06-16,P006,12,1450,0
T00236,2026-06-17,P001,3,5990,0
T00237,2026-06-17,P006,2,1450,0
T00238,2026-06-18,P001,2,5990,600
T00239,2026-06-18,P003,5,1800,0
T00240,2026-06-18,P006,2,1450,0
T00241,2026-06-19,P001,1,5990,300
T00242,2026-06-19,P005,1,14990,0
T00243,2026-06-19,P006,2,1450,0
T00244,2026-06-20,P001,3,5990,0
T00245,2026-06-20,P003,13,1800,0
T00246,2026-06-21,P003,2,1800,0
T00247,2026-06-21,P005,2,14990,0
T00248,2026-06-21,P006,1,1450,0
T00249,2026-06-21,P008,1,3500,0
T00250,2026-06-22,P001,1,5990,0
T00251,2026-06-23,P003,1,1800,0
T00252,2026-06-23,P006,1,1450,72
T00253,2026-06-23,P008,1,3500,175
T00254,2026-06-24,P001,1,5990,0
T00255,2026-06-24,P003,3,1800,540
T00256,2026-06-24,P006,1,1450,0
T00257,2026-06-25,P002,1,39990,0
T00258,2026-06-25,P003,3,1800,0
T00259,2026-06-25,P006,1,1450,0
T00260,2026-06-26,P003,5,1800,0
T00261,2026-06-26,P006,1,1450,0
T00262,2026-06-26,P008,1,3500,0
T00263,2026-06-27,P002,1,39990,0
T00264,2026-06-27,P003,4,1800,0
T00265,2026-06-27,P006,1,1450,0
T00266,2026-06-27,P008,2,3500,0
T00267,2026-06-28,P003,2,1800,0
T00268,2026-06-28,P006,5,1450,0
T00269,2026-06-29,P006,1,1450,0
T00270,2026-06-30,P001,6,5990,0
T00271,2026-06-30,P002,1,39990,0
T00272,2026-06-30,P003,1,1800,0
T00273,2026-06-30,P006,1,1450,0
T00274,2026-07-01,P003,10,1800,1800
T00275,2026-07-01,P006,2,1450,0
T00276,2026-07-01,P008,1,3500,0
T00277,2026-07-02,P006,2,1450,0
T00278,2026-07-03,P001,1,5990,0
T00279,2026-07-03,P003,1,1800,0
T00280,2026-07-03,P006,4,1450,0
T00281,2026-07-04,P001,2,5990,0
T00282,2026-07-04,P002,1,39990,0
T00283,2026-07-04,P003,1,1800,0
T00284,2026-07-04,P006,9,1450,0
T00285,2026-07-05,P003,4,1800,0
T00286,2026-07-05,P006,2,1450,0
T00287,2026-07-06,P003,8,1800,0
T00288,2026-07-07,P001,3,5990,1797
T00289,2026-07-07,P003,2,1800,0
T00290,2026-07-07,P006,2,1450,0
T00291,2026-07-08,P001,1,5990,0
T00292,2026-07-08,P003,3,1800,0
T00293,2026-07-08,P006,6,1450,0
T00294,2026-07-09,P003,4,1800,0
T00295,2026-07-09,P008,1,3500,350
T00296,2026-07-10,P002,1,39990,0
T00297,2026-07-10,P003,1,1800,0
T00298,2026-07-10,P005,1,14990,0
T00299,2026-07-10,P006,1,1450,0
T00300,2026-07-11,P003,1,1800,0
T00301,2026-07-11,P006,7,1450,0
T00302,2026-07-11,P008,1,3500,0
T00303,2026-07-12,P001,1,5990,0
T00304,2026-07-12,P003,1,1800,90
T00305,2026-07-14,P001,1,5990,0
T00306,2026-07-15,P001,1,5990,0
T00307,2026-07-17,P001,2,5990,0
T00308,2026-07-17,P005,1,14990,0
T00309,2026-07-17,P008,1,3500,0
T00310,2026-07-18,P001,1,5990,0
T00311,2026-07-18,P006,5,1450,725
T00312,2026-07-18,P008,1,3500,0
T00313,2026-07-19,P001,4,5990,0
T00314,2026-07-19,P003,3,1800,0
T00315,2026-07-20,P003,1,1800,0
T00316,2026-07-21,P001,1,5990,0
T00317,2026-07-21,P003,4,1800,720
T00318,2026-07-21,P006,2,1450,0
T00319,2026-07-22,P003,1,1800,0
T00320,2026-07-22,P006,2,1450,0
T00321,2026-07-22,P008,1,3500,0
T00322,2026-07-23,P001,1,5990,0
T00323,2026-07-23,P003,3,1800,0
T00324,2026-07-24,P001,5,5990,0
T00325,2026-07-24,P003,7,1800,0
T00326,2026-07-24,P008,1,3500,0
T00327,2026-07-25,P001,1,5990,0
T00328,2026-07-25,P002,1,39990,0
T00329,2026-07-25,P005,1,14990,0
T00330,2026-07-26,P001,1,5990,0
T00331,2026-07-26,P007,2,4200,0
